day,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00
1,41.73459,29.34356,9.62216,19.67652,5.99268,28.21842,65.70854,51.65769,31.55298,49.90423,12.07595,5.61671,43.45145,45.18528,60.52443,17.51556,5.01722,19.90131,7.14549,51.96916,27.40785,31.8128,8.24135,5.85214,7.40657,53.98865,30.78172,18.63605,5.63255,14.09347,5.64155,17.48801,14.28828,4.81229,1.33933,3.20097,20.16111,21.30465,27.43516,11.21093,16.19133,1.58688,32.61772,18.76353,25.84358,21.63331,14.74837,12.13269,14.94636,58.93237,67.20041,55.66218,22.38648,20.23135,4.26971,28.44034,60.74656,49.16452,30.05687,20.19101,7.68131,14.19492,43.38104,41.12953,32.33867,21.05565,23.18338,13.83501,36.70401,75.5614,48.02732,58.06539,39.19124,1.15693,15.06235,39.14542,26.19037,22.34144,24.46326,5.85775,2.89596,17.83765,16.3985,10.06628,15.45569,48.24146,83.90309,91.83229,118.6078,106.69444,97.92136,37.65459,53.63391,32.31382,60.4245,62.32445
2,39.31993,35.07638,6.83776,20.56047,7.60947,28.23297,61.68506,54.5334,26.79191,42.52018,11.47252,6.56434,39.01836,52.13012,64.23513,17.93515,8.24611,14.45653,8.44875,60.154,24.61651,21.71653,9.31467,5.28928,9.51122,51.91814,26.63478,19.60687,6.1685,12.17141,3.89974,22.91897,15.38486,3.97405,1.06385,5.1891,20.12463,15.58577,24.79951,8.42867,14.5378,9.7828,28.51686,17.98531,25.20607,25.33814,17.1236,11.51081,17.04475,56.52611,68.95009,61.34903,21.01567,20.28631,4.83051,30.50469,60.22872,46.67513,28.90273,20.45239,5.25902,19.33589,44.26669,42.74137,28.16044,22.27834,26.76633,14.70725,45.59732,81.29102,45.8447,44.85391,36.04317,1.25981,17.1576,40.68349,24.27502,26.89881,28.14595,5.17485,3.27523,17.63851,17.35593,10.15644,13.88356,44.629,87.10972,91.22147,110.2721,106.16862,93.12398,33.65393,53.93894,36.29069,59.14025,65.53139
3,34.73764,41.09691,6.90793,21.62827,6.63621,29.8736,52.28931,57.31373,24.30025,41.49709,10.03425,5.88244,42.61847,55.39089,48.84154,19.47418,11.26282,8.96813,8.49803,56.11025,25.55295,16.49079,9.60617,3.96068,12.22948,51.04476,24.55588,25.12861,7.91935,10.98575,3.81575,17.37537,15.2344,3.75142,0.5361,6.17415,19.69143,15.89299,20.79693,7.38001,7.50982,10.22607,30.94728,17.58054,26.30542,27.12009,17.04675,11.89384,17.11392,54.604,69.49236,59.48209,23.68916,21.24211,5.39715,33.42261,60.92874,42.78804,31.25411,24.30141,4.72696,23.25623,44.87389,39.34003,30.39351,22.91714,21.03446,18.85446,48.88547,83.98197,45.41239,43.21641,34.56607,1.91782,20.86886,41.16665,23.68492,30.38862,24.62001,4.63086,3.95194,17.59314,19.45918,10.81426,12.89339,48.20972,83.1314,96.62151,111.51657,109.07229,89.01123,42.40319,51.0875,38.35899,51.2427,68.05378
4,34.29372,38.20804,6.95635,20.7196,7.87516,37.6062,49.57617,53.90891,23.14574,38.28076,7.54227,5.31361,54.60104,50.82026,43.27366,18.61527,15.84972,7.13733,9.52852,48.67022,22.12441,12.52485,8.70385,3.53733,17.90281,52.14938,25.78503,21.1105,9.87069,9.0211,4.38986,17.38464,15.59735,3.85294,0.44926,7.38138,20.92194,15.036,18.38232,6.86236,7.27157,7.66451,26.92542,13.07834,28.59075,23.50222,15.7524,11.28328,16.69175,54.07412,68.66008,55.11628,22.44589,16.67638,5.3136,35.7731,62.97573,44.93456,31.42286,25.99183,4.16337,29.60254,41.76345,48.62967,35.12779,24.98902,16.7695,20.88155,54.49385,87.59357,46.50564,32.73908,29.43913,2.43242,27.86358,40.60173,25.21119,28.26565,27.21883,1.41691,4.34818,14.21774,21.81119,10.78829,14.69689,51.28075,83.36505,87.38415,115.42816,110.35994,76.3728,47.07599,49.29167,40.08424,46.91777,66.73779
5,42.10766,33.28922,7.14372,23.48714,10.14421,38.3303,42.67746,45.87725,24.77523,31.52624,7.7752,5.32175,65.36219,49.8204,39.42218,13.63767,16.75932,7.09034,11.11234,46.91139,23.95045,12.19623,7.31159,3.49926,17.19825,54.06214,25.82401,14.71639,8.49128,8.46436,3.43528,18.69637,15.96264,4.32969,0.53429,7.08659,23.85711,16.39974,18.02386,8.50443,8.95533,7.44475,26.4842,12.58271,29.81624,19.24678,15.82166,12.86472,16.82278,54.01009,71.67479,55.23799,22.73864,14.69202,6.74429,39.65394,59.57031,44.79398,34.50058,21.57739,3.34685,31.83501,40.58592,45.74899,26.27633,24.88266,13.98419,20.11388,54.49385,89.51307,46.2744,27.60003,25.50326,4.51401,32.61942,44.10555,22.76945,27.42032,22.14813,1.13151,3.87419,11.08995,23.24442,11.1989,18.35756,57.49333,93.46895,98.04401,118.66996,116.0186,85.40597,48.51098,49.09763,41.75516,47.84212,57.48195
6,47.74315,32.57368,8.79884,15.27372,7.6642,43.59632,54.81119,40.17232,23.76292,31.75572,7.85187,5.81079,71.72537,44.88703,38.6742,11.89985,20.01418,7.57017,12.01934,44.38169,29.18806,13.92173,6.31133,2.3922,16.24801,54.74496,24.4426,11.44763,6.01781,7.61609,5.77952,20.29768,16.48885,5.21758,0.6257,7.61479,27.87528,18.37048,17.45212,10.97294,8.96423,6.03185,22.20487,16.42669,30.03389,18.55477,17.69995,14.68231,18.52353,55.18608,72.10328,59.31418,22.30274,11.43692,8.55894,41.33901,55.84902,41.10188,33.06968,18.30561,3.57043,31.49898,42.88759,36.54935,27.2922,28.72238,14.91818,19.17608,54.49385,86.40087,49.29817,22.37973,21.16201,4.93766,40.00883,49.18663,24.75426,25.04145,23.80658,0.84831,3.951,9.88653,24.2437,7.75828,20.64369,61.95453,97.42703,103.1808,121.22063,118.02556,85.82853,53.38542,49.97975,42.35484,48.12516,48.98994
7,40.46396,31.07669,17.81967,21.22172,6.94074,45.78717,53.28185,35.66268,21.20677,29.36599,8.24844,9.07315,57.61135,53.93789,36.26877,11.01877,21.4507,7.1441,11.79935,45.73295,36.10812,13.58081,5.38702,1.55227,19.5242,50.62251,25.74707,10.88651,5.26567,5.55959,3.93557,16.08447,17.83342,5.88687,0.6867,8.51178,25.70132,16.41191,18.78126,11.51968,4.49559,7.29428,19.88123,17.5524,34.24786,15.78868,23.56934,16.21794,21.7599,57.85849,73.7084,55.07395,24.32071,9.12989,11.53033,44.65206,56.81835,39.07371,27.9301,15.75798,4.20887,33.20583,44.60491,33.63632,22.34964,24.66731,15.91086,21.53661,54.49385,80.34721,44.7192,22.29929,14.6779,5.47747,44.25712,47.35841,25.16485,25.09172,22.01455,0.7742,5.02453,8.67993,22.27733,6.35698,23.55897,63.61472,89.44794,99.65573,122.83261,118.05415,82.45614,57.46379,48.7566,44.61878,45.51058,43.44768
8,37.48381,31.5787,21.31792,27.37782,9.37834,48.46916,52.44311,40.10105,23.18343,26.496,11.07045,11.21219,47.65579,64.31582,36.1957,9.74953,21.0049,7.00167,12.61542,46.1007,42.46358,10.25866,5.32514,2.35425,35.97188,52.6436,26.59653,7.01095,5.0432,4.60016,5.28652,11.82091,13.41052,5.47765,0.61953,8.67734,24.80469,14.30366,15.25468,14.59602,1.62476,9.31753,21.62685,18.71877,34.94995,14.9597,28.23296,15.77205,23.78512,58.50707,69.38997,49.73854,28.84245,8.82642,14.00939,44.03162,52.26956,34.87161,28.6044,14.33293,4.71665,39.14169,41.20092,31.8582,18.29869,22.99791,12.2022,23.18024,54.49385,68.8392,41.13724,21.56083,12.16182,6.38167,42.72198,42.74929,23.93048,27.74964,16.18479,1.01892,9.38562,10.91232,27.81709,6.77157,26.70912,68.42264,90.73106,96.08199,123.99563,115.31983,79.58027,56.73153,42.4724,43.87813,49.33885,41.84522
9,30.93642,28.09775,18.16885,17.26539,12.52079,56.38428,64.03866,46.95587,26.87909,24.66028,12.00986,11.9204,38.22662,73.81245,34.96426,9.10289,18.89023,6.67302,16.49203,41.09273,51.10964,9.98911,7.77964,3.45524,46.91796,54.88103,21.35666,45.56183,7.8417,6.3142,8.84229,4.79598,14.21627,4.57265,0.56488,9.84992,27.24446,11.81127,12.26077,13.20297,0.8572,9.78862,22.83576,21.35283,33.97436,14.4675,25.20176,17.33103,28.99726,60.6737,70.92314,44.10053,27.70354,5.81383,15.1652,43.92397,50.31199,30.0458,23.89628,17.86036,5.44888,39.90713,39.93702,27.38526,14.82423,20.6774,11.83952,21.671,54.49385,66.25494,39.82331,22.74566,9.80605,7.5567,41.31069,42.5095,20.19688,26.99075,13.61333,30.3326046,12.0817,15.40319,22.92457,7.42407,30.97154,73.51705,89.74148,103.2803,124.81363,116.791,67.0733,56.93398,40.49821,47.35274,49.11759,42.20811
10,31.95873,26.24272,19.2438,16.17773,16.17346,50.40508,68.0556,39.41869,34.30421,20.92666,11.61213,15.5981,33.5786,84.78875,33.32005,7.32758,20.49393,6.09871,22.2654,34.7036,54.26349,7.86558,9.61751,3.9197,49.97083,48.61012,17.18542,45.91985,10.70417,7.38602,10.3165,8.41762,13.94602,4.91547,0.61084,12.69,23.49863,15.19103,15.75516,12.72981,0.99483,10.99063,25.68047,22.92271,32.53581,14.63887,19.35988,16.99379,33.68778,58.63618,69.4392,38.53641,27.4809,3.9599,15.34988,46.57253,55.71025,32.28673,23.16195,17.36386,5.47103,39.82412,42.98981,37.45608,15.64459,14.75166,10.77941,25.43893,54.49385,60.35172,41.6045,31.09132,7.58571,8.04053,36.88493,42.99731,15.66601,22.7724,9.21563,30.3326046,15.7997,19.43884,19.29056,5.13644,36.29454,75.10436,82.51045,112.90203,118.24286,118.33884,61.51125,54.71995,36.96737,48.73525,55.73939,40.54869
11,33.74837,21.56157,17.7177,11.97297,14.06185,49.02484,70.3119,34.37394,42.11196,18.85517,9.85132,22.16842,26.38453,77.34809,27.46056,5.31383,22.26877,5.82167,28.08162,30.36829,52.95501,9.00887,9.84566,3.52927,46.05046,48.11744,15.00362,47.3726,13.02323,5.85731,12.29069,8.95006,12.21036,4.74119,0.87608,16.98133,20.24868,14.05774,15.39504,14.62578,1.92739,10.25382,25.16293,21.02789,33.52787,17.35528,16.3127,14.2752,42.95554,58.97859,66.88725,40.19707,28.15475,3.32335,14.91644,47.2794,54.78618,31.62137,25.32276,15.65803,6.68149,42.51671,47.64934,38.37957,15.55111,12.11072,10.26435,29.06253,65.21077,49.46504,38.86421,26.82857,5.21048,8.59012,37.50697,37.02831,17.56528,25.28054,7.18284,30.3326046,17.48708,22.41238,18.2264,5.44622,36.58715,62.72437,80.70328,106.60539,119.05369,110.18711,55.06731,55.89586,33.31998,52.63243,57.58551,35.13224
12,31.05752,16.56709,19.43916,11.3899,13.84673,56.54749,72.97243,35.19393,54.1244,17.99745,7.0101,24.0405,27.53316,62.08516,25.17371,3.1791,23.67287,6.68867,33.58572,23.57031,46.4829,8.76538,8.22232,4.19357,42.3267,47.84054,14.48071,28.94568,15.41766,5.47156,14.07689,13.41215,10.25304,4.08391,1.28836,19.83782,18.44645,15.40075,16.86423,16.24234,4.07223,11.65585,27.34847,22.76443,28.86488,19.14784,13.60356,11.68683,52.131,57.3875,66.07252,35.53889,26.44662,4.3307,17.88675,53.79605,53.99158,32.70654,26.54513,14.01119,8.43174,42.72115,37.43138,43.54628,16.87498,11.48483,9.89867,28.42941,70.79325,42.05138,42.27122,23.07578,2.97331,9.23438,35.35919,35.80083,22.24662,22.70681,4.30913,0.97025,14.66773,23.67109,20.84595,5.94253,36.19107,62.87419,84.0074,112.92878,116.57129,106.91542,58.18052,61.27785,31.74918,54.91957,58.73522,39.4656
13,29.80529,17.12655,26.08526,13.1656,19.48619,62.43588,66.25773,32.93157,59.28873,18.37734,6.32421,30.89955,30.8896,57.9741,20.28649,2.84143,19.63342,8.16192,37.9472,25.01126,34.6919,7.81202,6.97153,4.2959,43.17684,45.41124,17.85371,11.80844,16.16028,5.60794,8.7926,13.42547,8.11224,3.65919,1.45094,19.53274,15.39997,12.75212,17.17751,12.86154,2.41955,17.00691,24.2827,19.13831,22.0767,14.68445,12.33229,12.14847,60.24508,56.0376,58.82321,32.66798,25.07477,3.65354,18.2472,57.71534,54.93578,33.38836,24.38148,15.022,8.71171,43.15958,34.23993,40.22973,16.41027,11.57863,11.0711,28.0143,75.31599,33.2821,49.70733,28.73357,2.09011,9.91993,37.15098,37.09595,23.27845,25.39828,2.50005,1.51872,14.95046,21.6853,16.76083,7.53239,37.4833,60.16828,81.51499,112.91905,121.44761,108.0607,52.18723,61.91415,33.10494,55.53772,59.26251,34.47452
14,28.68528,15.36736,22.26223,10.69499,19.2604,70.88839,57.85156,28.21099,62.69711,15.46157,5.45821,37.64256,34.03007,54.41243,17.92307,2.5137,20.05494,8.47273,40.95298,25.60863,37.39284,6.62543,6.65792,4.84842,47.3303,40.67469,21.28894,4.01992,14.68907,6.65511,8.50912,12.44204,6.68822,3.01607,1.62373,19.69018,19.25746,13.94451,16.92885,11.69594,1.77733,19.96612,21.18143,19.95995,20.81473,16.12029,13.30463,13.14967,65.84993,60.05954,61.45532,28.82429,23.15552,3.56452,21.32329,56.21901,56.33222,30.81687,20.39231,11.90056,9.297,42.57445,42.25826,50.19667,16.16684,14.661,12.92332,27.47082,75.00556,35.24742,51.41022,36.57961,1.8345,12.73451,38.14578,36.10499,25.42309,22.5483,4.14872,3.0644,16.36366,19.5869,12.49876,12.18577,44.0499,58.52926,30.3326046,124.77305,115.89286,109.72759,44.27633,58.67868,34.51188,57.8066,62.07465,35.38366
15,29.26678,14.4472,15.88608,12.55057,26.68956,70.00035,49.80936,29.52368,55.78831,13.77228,4.98601,41.30226,40.63848,55.36985,17.09103,3.01748,18.96836,8.72278,42.87791,24.31254,34.87375,8.2772,6.39012,5.42131,53.01714,31.54128,21.61714,3.07643,14.57741,6.01679,14.0272,15.0993,5.01983,1.96482,2.18868,20.83552,19.83102,16.69286,17.05347,14.78773,0.98473,27.24321,17.62608,23.23817,21.28498,17.64373,12.51002,13.92314,61.04606,63.95106,56.82968,26.64122,21.29347,4.25347,25.04256,58.58806,53.19217,26.76493,19.67465,9.90289,11.56305,41.09679,37.75029,43.02487,19.41252,18.41639,12.25819,32.31316,77.57499,41.32673,48.34933,36.49885,1.61438,15.04116,36.72844,28.07095,22.57278,21.60803,6.78266,3.12643,16.80606,20.35099,12.74327,14.6726,48.04358,68.42317,75.93882,121.13097,115.80208,105.53133,40.82636,56.08911,33.32768,57.88846,65.39856,35.06209
