day,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
1,71.28833333,92.169,71.40433333,75.743,71.35533333,69.86566667,83.583,92.77966667,69.96566667,75.183,69.789,71.456,107.8013333,82.88733333,51.013,98.83033333,62.241,2.386,11.34266667,3.561333333,10.356,44.11933333,83.32733333,66.96966667,102.0183333,32.38166667,88.149,33.00966667,60.11433333,100.089,159.893,185.461,172.276,26.93833333,47.399,39.966,7.8655,9.908,37.264,104.4973333,9.801333333,24.5025,1.531333333,62.81033333,46.35066667,75.01433333,37.861,15.31733333,1.704,1.724666667,14.03033333,45.412,72.891,30.417,128.8695,50.29066667,48.1235,26.755,24.094,51.675,34.95066667,103.693,136.3233333,155.9006667,44.047,12.32066667,16.18566667,5.659333333,2.824,12.532,0.836666667,0.180333333,4.001666667,10.04933333,0.036666667,36.736,37.09633333,170.039,114.6116667,64.16833333,0.169666667,1.448,6.678,3.018,0.815,2.647666667,7.489,2.913,3.115,14.79066667,69.721,38.60533333,23.112,55.21333333,10.75966667,137.6353333
2,71.277,94.358,71.395,73.672,71.60133333,70.253,86.277,88.80533333,70.941,75.419,69.793,71.456,104.8243333,86.207,56.38266667,99.37166667,51.238,1.347,10.229,6.424333333,10.30066667,37.363,77.41733333,67.477,100.6773333,30.277,83.75833333,33.46866667,61.37366667,84.676,149.531,180.3926667,175.6626667,26.359,47.05766667,67.248,7.558,11.62966667,37.35433333,112.216,3.148333333,21.65633333,2.2165,69.53766667,40.66933333,75.12133333,42.32533333,22.71366667,5.969,4.111,15.357,46.7705,65.392,29.084,131.756,45.727,45.137,30.909,23.092,32.87033333,40.69866667,104.312,135.2046667,154.7013333,31.55766667,12.31366667,19.92266667,3.170333333,2.848,12.359,0.420333333,0.177333333,2.488666667,8.5325,0.220666667,43.2215,39.091,157.0016667,127.114,47.17933333,1.180333333,0.752333333,6.203333333,2.756,0.792,3.55,6.849,2.881666667,3.856,12.31866667,65.857,37.00266667,23.33,51.764,11.42133333,141.733
3,71.212,93.2535,71.44766667,73.383,72.285,70.403,84.11533333,86.50566667,70.85466667,75.639,69.80766667,71.456,104.8363333,82.543,60.65033333,98.24166667,44.71033333,1.051,9.731,9.835666667,8.823666667,41.82966667,71.44833333,84.131,95.489,29.05133333,74.22033333,32.418,64.265,99,152.0586667,185.5166667,163.4933333,27.423,45.92466667,77.613,34,11.61933333,36.60533333,96.827,6.446,18.724,8.463333333,76.36466667,44.352,75.76133333,43.94,34.98666667,24.36966667,9.808,8.1885,48.487,56.65933333,33.43366667,90.3235,43.753,46.08633333,30.125,27.33566667,33.012,50.65033333,103.2943333,136.5913333,153.853,30.74966667,12.30066667,18.67233333,2.495666667,2.8845,12.15933333,0.344,0.208,5.894,7.743,0.697,51.21966667,42.649,155.989,123.6266667,57.045,0.590666667,0.158333333,6.614,3.214,0.792666667,3.869666667,5.545666667,2.867666667,5.417666667,11.996,65.026,33.88133333,22.063,55.976,13.87966667,135.009
4,70.8965,80.97066667,71.437,74.1495,70.70766667,70.2665,81.711,88.0215,72.18333333,75.79133333,69.81566667,71.456,99.25033333,78.55933333,60.19766667,96.58333333,41.739,0.699666667,7.233333333,9.299666667,7.012333333,33.17133333,64.091,94.87866667,91.55733333,32.855,67.69766667,28.93766667,63.49366667,68.76466667,161.556,180.264,143.296,26.61266667,44.806,88.69766667,7.2865,10.36166667,32.204,107.1033333,12.68633333,18.58566667,11.457,82.54766667,44.35766667,68.26,40.43333333,40.604,41.59733333,12.98333333,7.066333333,48.94,60.398,35.35233333,104.539,42.765,48.825,29.28533333,28.01866667,34.57766667,64.3145,97.91466667,130.5716667,159.9053333,39.80166667,13.40266667,16.782,3.079666667,2.931666667,14.001,0.259333333,0.234333333,6.908,7.686333333,0.878666667,56.476,40.10933333,154.873,122.1343333,60.416,0.198,0.053666667,6.104666667,2.989,0.765666667,5.098,3.860333333,2.881333333,5.9345,9.983333333,64.51066667,39.85533333,25.09966667,49.93166667,9.973333333,129.978
5,70.85533333,79.38433333,71.40233333,76.492,70.3155,69.98433333,81.11266667,82.79933333,72.60466667,75.83733333,69.788,71.456,99.38066667,79.866,60.177,89.00633333,44.862,0.649666667,5.715,12.75666667,6.777666667,28.045,69.14066667,90.33133333,90.28866667,34.862,61.37933333,30.29533333,67.23,60.69366667,164.1423333,181.0036667,137.4083333,23.46966667,46.40466667,110.2063333,15.1365,11.192,31.251,114.389,14.57533333,17.98833333,13.323,91.042,47.877,59.738,32.31566667,39.2335,41.52633333,13.8075,10.2255,54.182,60.41766667,30.157,105.044,37.52666667,56.20133333,27.25633333,23.9185,37.357,75.76966667,92.27433333,124.207,161.0786667,46.08833333,17.3805,14.25333333,3.203666667,3.700333333,12.52333333,0.524,0.27,3.395666667,5.982666667,0.631333333,61.526,35.71266667,134.2913333,121.851,41.26366667,0.055333333,0.062333333,5.760666667,1.972333333,0.762333333,4.628,3.1,2.882333333,5.926,6.584,63.543,42.084,23.60666667,42.33266667,16.033,123.3046667
6,71.028,78.5595,71.396,82.12433333,70.3655,69.957,81.3215,81.743,72.15933333,77.61933333,69.795,71.456,96.43733333,81.068,55.0235,79.472,33.04133333,0.629666667,5.484333333,17.5515,7.829333333,29.45533333,68.95333333,88.30666667,87.441,34.241,55.89,51.268,73.91566667,61.1955,172.157,183.604,136.9785,18.84366667,39.20266667,115.72,20.399,13.1645,34.593,108.9696667,16.66333333,15.94,18.95966667,100.9643333,44.825,55.3865,29.64566667,45.16766667,26.51666667,15.03166667,10.464,59.68166667,63.13866667,39.27566667,98.796,37.604,61.6925,26.07333333,26.9865,33.13633333,85.024,85.65133333,129.5023333,148.1843333,48.39833333,14.80533333,13.85933333,3.171,3.445,13.382,0.595,0.362333333,3.296,6.772666667,0.26,72.27733333,23.482,106.0186667,114.367,41.20366667,0.054333333,0.042333333,6.619666667,1.349,0.765,4.38,2.817,3.019333333,6.122333333,5.873666667,62.131,35.16433333,28.04833333,36.50933333,19.04766667,124.974
7,71.00166667,78.18733333,70.2685,81.415,70.88,69.8655,79.81666667,79.995,70.76966667,77.83333333,69.788,71.456,97.02266667,81.94066667,53.72766667,74.45666667,35.18666667,0.227,2.767666667,19.51066667,12.21833333,29.099,80.86833333,92.79066667,96.25533333,36.374,49.49833333,73.93733333,75.583,55.757,176.0646667,187.007,142.9353333,13.55566667,41.363,112.0373333,19.7635,14.03866667,39.80466667,105.2793333,21.185,12.68866667,37.70933333,100.6943333,46.26866667,56.204,31.14,41.323,12.94,13.64033333,10.069,75.817,71.64366667,72.56566667,97.588,37.70266667,59.66366667,27.96,32.913,30.9495,84.84566667,79.272,140.0666667,138.2905,46.714,15.25433333,15.40066667,3.492333333,3.3205,15.29033333,0.77,0.476666667,4.716,7.1395,0.127,84.86333333,17.684,112.413,115.3886667,43.42766667,0.155666667,0.023666667,7.329333333,1.017333333,0.749666667,5.004666667,2.800666667,2.962666667,7.0435,6.634,61.59633333,31.74633333,32.777,32.33366667,26.84,128.074
8,70.971,79.189,70.26566667,79.78166667,72.972,69.91533333,78.21566667,78.62666667,71.564,78.69666667,69.788,71.456,100.0763333,81.926,50.04633333,79.99466667,41.56466667,0.652666667,2.524666667,21.829,14.43366667,23.02033333,87.86333333,94.91533333,98.81266667,42.54166667,44.22766667,80.13533333,70.564,56.856,175.7125,184.581,137.873,11.702,44.16066667,104.263,20.72533333,15.38,43.63066667,107.0195,23.89566667,11.21866667,44.126,101.094,45.7215,60.03,25.0545,34.11,16.31533333,12.47266667,8.1835,80.267,76.75366667,100.673,89.439,37.464,61.1,33.01866667,36.38766667,26.936,89.01466667,81.95633333,144.6533333,133.9313333,37.45833333,16.391,17.941,4.034333333,2.911666667,15.382,0.563333333,1.797,5.456,5.947,0.053666667,88.43133333,16.18233333,146.5256667,111.469,44.59866667,0.254,0.347,6.970333333,1.035333333,0.763,4.914333333,2.849666667,2.877333333,8.161,8.797333333,61.716,29.1775,42.56333333,25.323,30.124,128.2573333
9,71.01633333,78.75833333,70.284,80.377,75.21066667,69.791,78.3895,77.94233333,72.04133333,79.38066667,69.79066667,71.456,101.7213333,80.77766667,48.51433333,79.06766667,36.07866667,1.214666667,3.535333333,18.51766667,16.133,16.42133333,87.602,91.394,93.67633333,45.37333333,42.19633333,70.31866667,69.266,57.021,173.502,176.987,116.3425,10.815,50.02733333,105.6323333,17.942,15.47,51.64133333,112.0126667,25.45133333,10.35033333,45.52166667,96.648,45.95,58.72633333,23.08866667,31.084,19.03433333,7.449333333,6.744,75.90066667,67.72233333,110.9396667,86.11833333,42.35266667,58.90766667,36.129,36.06666667,22.73466667,93.84566667,78.074,139.347,146.5706667,33.14066667,16.43066667,19.62366667,6.757,2.914666667,18.03233333,0.504666667,3.491666667,12.08266667,3.946,0.358666667,95.41233333,27.174,166.8346667,105.4513333,34.874,0.347,0.326333333,7.253,0.923666667,0.739666667,5.539333333,2.790333333,2.879333333,8.498666667,9.042666667,56.436,28.40933333,37.51733333,17.744,36.283,124.024
10,70.98966667,78.7175,70.9045,86.188,78.003,69.789,78.349,76.974,72.13933333,80.071,69.802,71.456,98.501,79.72366667,47.02166667,82.93666667,32.36033333,4.384333333,3.012666667,19.275,15.91433333,11.689,75.05,87.07966667,85.51466667,46.39033333,44.64666667,51.27,71.20233333,57.4225,174.0633333,169.791,119.7523333,10.24,59.09433333,103.376,9.875333333,16.396,52.891,102.9263333,28.96133333,5.781666667,40.41866667,96.565,49.3465,56.4305,17.52033333,26.01866667,21.583,7.288333333,4.255,72.67866667,68.54566667,112.709,83.407,51.26966667,55.19666667,44.39333333,36.71266667,19.111,93.65466667,77.23266667,132.7726667,144.2163333,26.02333333,17.65166667,22.9305,11.129,2.931333333,38.4335,0.422666667,3.905,15.05633333,4.140666667,0.335666667,93.656,24.947,146.9436667,103.3683333,29.29333333,0.372,0.330333333,7.663666667,0.875,0.766,6.596333333,2.762,3.5305,8.916,10.74266667,54.2765,25.214,35.51,13.413,35.18533333,123.2653333
11,71.05633333,79.734,74.13933333,91.29466667,80.69933333,69.8235,78.86433333,76.45233333,74.40333333,78.06366667,70.769,71.456,95.22266667,81.43166667,44.12066667,84.64366667,36.06433333,8.361,3.222,18.91666667,10.90733333,10.865,75.417,82.52266667,83.267,44.78766667,48.18166667,40.61166667,76.80266667,55.751,174.4276667,175.8156667,112.2466667,11.00666667,66.94566667,110.619,9.4045,16.7085,55.6195,92.28066667,32.49566667,3.514666667,44.61733333,95.57933333,49.32966667,56.683,19.684,21.2355,20.82966667,7.252333333,4.632,64.562,70.93366667,111.671,81.011,58.432,53.70333333,50.349,33.059,18.268,86.861,91.95133333,137.7096667,134.7886667,25.37566667,18.69466667,22.90266667,8.148333333,3.044666667,52.69066667,0.160666667,4.896,16.2035,4.177333333,0.238333333,95.18166667,24.96633333,116.0085,86.51733333,33.339,0.348,0.317,8.275333333,0.884666667,0.944,8.318666667,2.721666667,4.342666667,9.809,10.88233333,48.25633333,29.30633333,32.66833333,24.644,43.74866667,126.6083333
12,72.774,74.16033333,76.05433333,84.84666667,80.89266667,70.21566667,79.19533333,76.00833333,75.84533333,78.37566667,73.218,71.456,99.22166667,80.959,43.15733333,91.92133333,26.61566667,9.674666667,5.399,16.36533333,9.0765,10.592,100.07,83.277,78.80033333,46.35866667,46.643,37.37733333,77.959,49.141,173.3775,184.9896667,104.4473333,12.1695,64.06,115.685,10.14633333,15.18266667,61.074,84.11766667,35.63266667,2.346333333,48.72566667,94.382,44.57633333,67.19166667,22.81866667,14.3985,19.189,7.072666667,4.584666667,71.871,68.40566667,105.2323333,75.605,58.88933333,53.27,43.61866667,30.09,15.83566667,85.517,109.2523333,145.4006667,143.0073333,24.76533333,17.85033333,24.34933333,7.288,4.864666667,46.00866667,0.376,3.919333333,17.04366667,2.555333333,0.344333333,87.60433333,22.80833333,80.47733333,72.27666667,34.85966667,0.343,0.318,9.402333333,0.927333333,3.967,8.910666667,2.738,4.891,8.9125,13.23666667,43.635,31.74033333,17.53833333,22.67166667,43.82733333,122.8453333
13,78.68033333,74.973,74.30866667,81.4915,80.67166667,69.845,80.577,74.736,77.25133333,78.79633333,74.92366667,71.456,101.2603333,82.96,47.20433333,98.866,22.15166667,11.38633333,8.775666667,8.978666667,10.861,8.645333333,121.481,87.737,78.662,45.20466667,44.14866667,37.68233333,73.29,47.029,120,180.243,94.3645,13.58966667,61.06533333,98.905,13.09433333,15.50866667,64.9245,72.43833333,36.138,1.3765,50.42166667,92.43633333,38.10333333,75.55066667,25.33733333,9.236,17.89966667,6.448333333,6.764333333,77.23233333,73.69166667,111.805,72.6255,61.92833333,51.197,46.872,27.38466667,14.165,86.43166667,117.6,147.4986667,149.906,23.64466667,17.69966667,26.798,6.368666667,5.937,50.731,0.439666667,3.089666667,18.39766667,1.978,0.352666667,85.18433333,28.31133333,59.54333333,84.112,36.33233333,0.339333333,0.305,8.12,0.848333333,5.307,8.419333333,2.732666667,6.088,7.9185,15.103,42.3605,33.30566667,22.28566667,19.43033333,51.23933333,124.9376667
14,74.06533333,75.5065,73.462,80.053,82.56566667,69.8065,81.562,73.10666667,77.93633333,79.03333333,73.82966667,71.456,104.4293333,90.202,42.055,91.89666667,20.81866667,11.14066667,12.953,6.935666667,12.48866667,6.794,111.554,89.29,80.316,41.36266667,40.65033333,54.45433333,75.67,43.47666667,171.7895,178.405,96.92266667,20.73133333,59.58866667,77.42366667,20.64333333,13.153,69.2495,64.27633333,38.965,1.183,53.26066667,90.228,39.02633333,64.779,23.399,7.19,15.768,4.283666667,8.242333333,79.152,78.603,115.929,71.584,67.72,47.40133333,45.51266667,27.26366667,15.243,89.18066667,123.1986667,149.563,155.9256667,26.12266667,18.141,26.71533333,4.964,6.242333333,57.29966667,0.4375,3.599333333,27.08033333,1.2955,0.356,78.50366667,50.681,58.5,96.999,35.77433333,0.348333333,0.306666667,6.374333333,0.848,4.436666667,10.7,2.754,4.674333333,6.099666667,16.43466667,37.634,31.92666667,29.36166667,20.406,51.667,139.2226667
15,70.992,76.03566667,72.39833333,78.89233333,82.815,70.65633333,81.179,72.57266667,78.05466667,77.22833333,72.79933333,71.456,108.5936667,98.27566667,43.68966667,77.21933333,15.028,12.049,13.58366667,8.437333333,14.086,6.012,100.2083333,85.98533333,82.26466667,37.21766667,39.398,67.006,77.85566667,42.517,163.749,179.5726667,99.62033333,25.871,60.83,65.671,24.907,11.22766667,69.978,57.79733333,41.193,0.744,44.50566667,87.264,39.48433333,48.02033333,21.28066667,9.2225,9.751,2.807333333,7.7145,80.252,79.772,123.1513333,81,69.79966667,50.52866667,43.73933333,30.9035,18.69466667,86.545,119.8763333,153.0123333,155.5446667,23.74266667,18.61133333,24.91433333,3.866,5.903333333,56.00366667,0.232,3.579666667,31.8,0.932666667,0.694333333,60.86566667,82.026,68.59666667,81.97066667,31.85233333,0.349333333,0.332,6.951666667,0.938666667,4.644,13.57366667,2.738333333,5.132666667,5.266666667,22.08,34.974,29.01333333,55.46,22.66866667,51.44533333,144.8213333
